name,slug,url
Razer,razer/careers,https://razer.wd3.myworkdayjobs.com/careers
Tencent,tencent/tencent_careers,https://tencent.wd1.myworkdayjobs.com/tencent_careers
Barclays,barclays/external_career_site_barclays,https://barclays.wd3.myworkdayjobs.com/external_career_site_barclays
Autodesk,autodesk/ext,https://autodesk.wd1.myworkdayjobs.com/ext
Grab,grab/careers,https://grab.wd3.myworkdayjobs.com/careers
Micron,micron/external,https://micron.wd1.myworkdayjobs.com/external
Globalfoundries,globalfoundries/external,https://globalfoundries.wd1.myworkdayjobs.com/external
Applied Materials,amat/external,https://amat.wd1.myworkdayjobs.com/external
Kla,kla/search,https://kla.wd1.myworkdayjobs.com/search
KLA,kla/ur,https://kla.wd1.myworkdayjobs.com/ur
Klook,klook/klookcareers,https://klook.wd3.myworkdayjobs.com/klookcareers
NVIDIA,nvidia/nvidiaexternalcareersite,https://nvidia.wd5.myworkdayjobs.com/nvidiaexternalcareersite
Intel,intel/external,https://intel.wd1.myworkdayjobs.com/external
Visa,visa/visa,https://visa.wd5.myworkdayjobs.com/visa
Mastercard,mastercard/corporatecareers,https://mastercard.wd1.myworkdayjobs.com/corporatecareers
Mastercard Foundation,mastercardfoundation/mastercardfdn,https://mastercardfoundation.wd10.myworkdayjobs.com/mastercardfdn
PayPal,paypal/jobs,https://paypal.wd1.myworkdayjobs.com/jobs
Cisco,cisco/cisco_careers,https://cisco.wd5.myworkdayjobs.com/cisco_careers
P&G,pg/1000,https://pg.wd5.myworkdayjobs.com/1000
Dell,dell/external,https://dell.wd1.myworkdayjobs.com/external
Hp,hp/externalcareersite,https://hp.wd5.myworkdayjobs.com/externalcareersite
Hpe,hpe/jobsathpe,https://hpe.wd5.myworkdayjobs.com/jobsathpe
Citi,citi/2,https://citi.wd5.myworkdayjobs.com/2
AIA,aia/external,https://aia.wd3.myworkdayjobs.com/external
Aig,aig/aig,https://aig.wd1.myworkdayjobs.com/aig
Prudential,prudential/prudential,https://prudential.wd3.myworkdayjobs.com/prudential
Ensign InfoSecurity,ensigninfosecurity/ensign_careers,https://ensigninfosecurity.wd3.myworkdayjobs.com/ensign_careers
Circles,circles/circles,https://circles.wd103.myworkdayjobs.com/circles
CapitaLand Investment,capitaland/capitalandinvestmentcareers,https://capitaland.wd3.myworkdayjobs.com/capitalandinvestmentcareers
Marina Bay Sands,marinabaysands/external,https://marinabaysands.wd102.myworkdayjobs.com/external
Salesforce,salesforce/external_career_site,https://salesforce.wd12.myworkdayjobs.com/external_career_site
Qualcomm,qualcomm/external,https://qualcomm.wd12.myworkdayjobs.com/external
Pwc,pwc/global_campus_careers,https://pwc.wd3.myworkdayjobs.com/global_campus_careers
Blackrock,blackrock/blackrock_professional,https://blackrock.wd1.myworkdayjobs.com/blackrock_professional
Blackstone,blackstone/blackstone_campus_careers,https://blackstone.wd1.myworkdayjobs.com/blackstone_campus_careers
Work at Shell,shell/shellcareers,https://shell.wd3.myworkdayjobs.com/shellcareers
Abbott,abbott/abbottcareers,https://abbott.wd5.myworkdayjobs.com/abbottcareers
Abbott,abbott/abbottcareers2,https://abbott.wd5.myworkdayjobs.com/abbottcareers2
Agilent,agilent/agilent_careers,https://agilent.wd5.myworkdayjobs.com/agilent_careers
Agilent,agilent/agilent_student_careers,https://agilent.wd5.myworkdayjobs.com/agilent_student_careers
DayOne,dayone/external,https://dayone.wd102.myworkdayjobs.com/external
